date,close
1-Jan-2008,7685
1-Feb-2008,7497
1-Mar-2008,7822
1-Apr-2008,7637
1-May-2008,8395
1-Jun-2008,8575
1-Jul-2008,8937
1-Aug-2008,9438
1-Sep-2008,9494
1-Oct-2008,10074
1-Nov-2008,10538
1-Dec-2008,11286
1-Jan-2009,12058
1-Feb-2009,12898
1-Mar-2009,13426
1-Apr-2009,13853
1-May-2009,14499
1-Jun-2009,14707
1-Jul-2009,14601
1-Aug-2009,14814
1-Sep-2009,15009
1-Oct-2009,15352
1-Nov-2009,15219
1-Dec-2009,15098
1-Jan-2010,15046
1-Feb-2010,15113
1-Mar-2010,15202
1-Apr-2010,15325
1-May-2010,14849
1-Jun-2010,14474
1-Jul-2010,14512
1-Aug-2010,14648
1-Sep-2010,14579
1-Oct-2010,14516
1-Nov-2010,15081
1-Dec-2010,14348
1-Jan-2011,14013
1-Feb-2011,13820
1-Mar-2011,13737
1-Apr-2011,13957
1-May-2011,13855
1-Jun-2011,13962
1-Jul-2011,13763
1-Aug-2011,13818
1-Sep-2011,13948
1-Oct-2011,13594
1-Nov-2011,13302
1-Dec-2011,13093
1-Jan-2012,12755
1-Feb-2012,12818
1-Mar-2012,12718
1-Apr-2012,12641
1-May-2012,12655
1-Jun-2012,12697
1-Jul-2012,12662
1-Aug-2012,12475
1-Sep-2012,12140
1-Oct-2012,12135
1-Nov-2012,12011
1-Dec-2012,12299
1-Jan-2013,12417
1-Feb-2013,11954
1-Mar-2013,11681
1-Apr-2013,11743
1-May-2013,11641
1-Jun-2013,11750
1-Jul-2013,11362
1-Aug-2013,11284
1-Sep-2013,11302
1-Oct-2013,11158
1-Nov-2013,10796
1-Dec-2013,10399
1-Jan-2014,10192
1-Feb-2014,10375
1-Mar-2014,10415
1-Apr-2014,9699
1-May-2014,9719
1-Jun-2014,9470
1-Jul-2014,9651
1-Aug-2014,9617
1-Sep-2014,9296
1-Oct-2014,8989
1-Nov-2014,9053
1-Dec-2014,8704
1-Jan-2015,8920
1-Feb-2015,8646
1-Mar-2015,8557
1-Apr-2015,8523
1-May-2015,8619
1-Jun-2015,8262
1-Jul-2015,8249
1-Aug-2015,8018
1-Sep-2015,7925
1-Oct-2015,7899
1-Nov-2015,7924
1-Dec-2015,7904
1-Jan-2016,7791
1-Feb-2016,7815
1-Mar-2016,7966
